firstname,surname,date,zodiac_sign,pesel
Jaine,Abthorpe,2023-01-29,Taurus,48795761756
Rob,Baglan,2022-12-11,Taurus,03731650387
Kelly,Sendley,2015-09-25,Gemini,69423273966
Terrence,Anneslie,2017-08-24,Aries,36469777094
Balduin,Mott,2021-09-13,Leo,63371537157
Christan,Pendleton,2023-04-30,Gemini,21904479041
Lucy,D'Angeli,2023-06-03,Pisces,18669435123
Con,Hurn,2018-08-16,Aries,66444665762
Augustin,Palmar,2018-09-04,Pisces,22675228679
Em,Kunze,2016-06-24,Sagittarius,06106969590
Jacenta,Beavington,2016-02-04,Leo,40560289711
Leila,Pirozzi,2016-09-21,Virgo,14746867349
Katya,Janas,2021-08-14,Gemini,11058349183
Mara,Chellam,2022-06-19,Gemini,60465850008
Jacquenette,Simeon,2022-01-29,Pisces,10704673010
Molli,Echalier,2022-03-23,Capricorn,65596576117
Dulcinea,Leate,2017-10-23,Gemini,51780820245
Eva,Thamelt,2019-07-02,Aries,04613508984
Holmes,Mattiuzzi,2017-04-09,Leo,82850863375
Moyna,Georgelin,2022-09-06,Capricorn,28010018912
Nola,Daniell,2016-10-04,Pisces,11539415979
Olivero,Wilsher,2017-08-16,Leo,05447902890
Enriqueta,McLarens,2017-06-11,Libra,59723315284
Mariska,Conkie,2019-09-25,Sagittarius,14678604850
Kimball,Gable,2019-05-07,Libra,42877380255
Judah,Asplin,2020-12-04,Leo,81738438169
Michal,Sellen,2018-06-20,Gemini,30558401207
Langsdon,Mallon,2017-10-09,Gemini,14863998304
Hilary,Pateman,2019-03-28,Virgo,02531601147
Carlynne,Kennifick,2018-03-06,Capricorn,49891188643
Brinna,Lillford,2018-07-22,Capricorn,93815620215
Angel,Cribbins,2018-06-01,Taurus,41561164190
Pierrette,Alvaro,2018-08-21,Libra,05420273018
Gabrila,Alentyev,2017-09-08,Aquarius,96542555143
Leyla,Pixton,2019-10-27,Sagittarius,06056719178
Tomlin,Semered,2017-04-24,Leo,18668596980
Kari,Vawton,2016-09-12,Libra,89360084590
Esmaria,Bree,2015-01-09,Taurus,47549486116
Roddy,Crisford,2018-03-20,Pisces,26624467919
Magda,Bozward,2021-07-17,Pisces,28483722292
Reinhold,Drew,2020-01-15,Scorpio,90733619487
Sarita,Crebott,2016-12-14,Taurus,14141975989
Gertrud,Borges,2020-01-10,Libra,89883965193
Rorke,Americi,2016-01-22,Sagittarius,77035729956
Barnard,Waddy,2016-07-02,Cancer,97279409773
Filippa,Maud,2018-11-20,Taurus,74577560667
Orella,Scougal,2022-07-03,Aries,82404179473
Broddy,Gofton,2017-08-18,Aries,71802934816
Ferguson,Kalinovich,2021-06-16,Taurus,44865355673
Jayme,Darthe,2021-07-27,Virgo,84707294035
Kirk,Fonzo,2019-02-25,Sagittarius,74876761674
Bail,Cheeld,2019-07-29,Scorpio,68228170369
Hope,Balshen,2021-10-17,Capricorn,24637958925
Nolan,Northcote,2020-07-05,Aquarius,32029056774
Chet,Bottrell,2016-05-10,Taurus,37914980433
Bryant,Weall,2017-03-13,Aquarius,78520505094
Michail,Puncher,2016-08-22,Libra,92819531897
Nerty,Kinsett,2016-04-02,Virgo,37401848060
Tallie,Geeritz,2020-02-12,Virgo,64844585435
Falkner,Hamflett,2022-02-16,Sagittarius,89496831744
Mavis,Grunson,2016-05-30,Cancer,16020006966
Finley,Klulik,2015-03-04,Libra,67396016732
Joey,Hume,2022-10-22,Virgo,97018406815
Laurent,Getty,2022-11-06,Virgo,83238189584
Guendolen,Juniper,2015-06-06,Cancer,40440576647
Krystyna,Duchatel,2015-04-07,Leo,68719801978
Eleanora,Langtry,2020-07-11,Cancer,20172616017
Annadiane,Foskett,2021-12-17,Taurus,99647002712
Jasmin,Hubberstey,2018-10-01,Scorpio,43098299033
Kalindi,Arkell,2022-04-10,Scorpio,70233787042
Geri,Vila,2022-07-16,Libra,19635207691
Gabbi,Linne,2017-12-10,Aquarius,93821229949
Benny,Braim,2019-12-02,Capricorn,20148717702
